PII nr 0 True entity idx (action) in pool: 0 
 Action 0, score:  0.9985342770814896
 Action 4, score:  0.998456597328186
 Action 0, score:  0.9985475838184357
 Action 5, score:  0.998538002371788
 Action 5, score:  0.9984414279460907
 Action 2, score:  0.9985433965921402
 Action 0, score:  0.9984804391860962
 Action 3, score:  0.9985474646091461
 Action 0, score:  0.9984431713819504
 Action 2, score:  0.9984776824712753
 Action 4, score:  0.9983830153942108
 Action 4, score:  0.9984676241874695
 Action 4, score:  0.9982807636260986
 Action 5, score:  0.9983653873205185
 Action 0, score:  0.9984398037195206
 Action 4, score:  0.9984410554170609
 Action 1, score:  0.998440220952034
 Action 5, score:  0.9984400868415833
 Action 5, score:  0.9984399080276489
 Action 2, score:  0.9984416216611862
 Action 5, score:  0.9984387308359146
 Action 5, score:  0.9984385520219803
 Action 5, score:  0.9984403997659683
 Action 0, score:  0.9984417408704758
 Action 3, score:  0.99844129383564
 Action 3, score:  0.9984404742717743
 Action 2, score:  0.9984417110681534
 Action 1, score:  0.9984404593706131
 Action 2, score:  0.9984410405158997
 Action 4, score:  0.998441070318222
 Action 2, score:  0.9984415471553802
 Action 2, score:  0.9984419792890549
 Action 2, score:  0.9984418153762817
 Action 5, score:  0.9984416365623474
 Action 0, score:  0.9984414130449295
 Action 4, score:  0.9984418302774429
 Action 1, score:  0.9984416961669922
 Action 4, score:  0.9984415918588638
 Action 4, score:  0.998441606760025
 Action 5, score:  0.998441606760025
 Action 1, score:  0.9984417110681534
 Action 3, score:  0.998441606760025
 Action 3, score:  0.998441606760025
 Action 1, score:  0.9984415769577026
 Action 3, score:  0.998441606760025
 Action 2, score:  0.998441606760025
 Action 4, score:  0.9984415769577026
 Action 1, score:  0.9984415769577026
 Action 4, score:  0.9984415769577026
 Action 4, score:  0.998441606760025
 Action 1, score:  0.9984415173530579
 Action 5, score:  0.9984415769577026
 Action 0, score:  0.9984415173530579
 Action 2, score:  0.9984415173530579
 Action 1, score:  0.9984415173530579
 Action 4, score:  0.9984415173530579
 Action 0, score:  0.9984415173530579
 Action 3, score:  0.9984414875507355
 Action 0, score:  0.9984414875507355
 Action 0, score:  0.9984415173530579
 Action 3, score:  0.9984415173530579
 Action 5, score:  0.9984415471553802
 Action 0, score:  0.9984415471553802
 Action 0, score:  0.9984415173530579
 Action 0, score:  0.9984415173530579
 Action 1, score:  0.9984415471553802
 Action 0, score:  0.9984415471553802
 Action 3, score:  0.9984415471553802
 Action 3, score:  0.9984415173530579
 Action 0, score:  0.9984415471553802
 Action 4, score:  0.9984415173530579
 Action 0, score:  0.9984415471553802
 Action 5, score:  0.9984415471553802
 Action 5, score:  0.9984415471553802
 Action 1, score:  0.9984415471553802
 Action 0, score:  0.9984415173530579
 Action 2, score:  0.9984415173530579
 Action 0, score:  0.9984415471553802
 Action 1, score:  0.9984415471553802
 Action 1, score:  0.9984415173530579
 Action 4, score:  0.9984415471553802
 Action 5, score:  0.9984415173530579
 Action 5, score:  0.9984415471553802
 Action 1, score:  0.9984415471553802
 Action 2, score:  0.9984415471553802
 Action 1, score:  0.9984415471553802
 Action 3, score:  0.9984415471553802
 Action 5, score:  0.9984415471553802
 Action 5, score:  0.9984415471553802
 Action 4, score:  0.9984415173530579
 Action 0, score:  0.9984415173530579
 Action 4, score:  0.9984415173530579
 Action 2, score:  0.9984415173530579
 Action 1, score:  0.9984415471553802
 Action 0, score:  0.9984415471553802
 Action 0, score:  0.9984415471553802
 Action 3, score:  0.9984415173530579
 Action 3, score:  0.9984415471553802
 Action 3, score:  0.9984415173530579
 Action 5, score:  0.9984415173530579
PII nr 1 True entity idx (action) in pool: 0 
 Action 4, score:  0.2492118297086563
 Action 4, score:  0.2489606441158685
 Action 1, score:  0.6235600519921718
 Action 2, score:  0.39979440400202293
 Action 1, score:  0.39968047595903045
 Action 1, score:  0.4000144759484101
 Action 2, score:  0.3999436758283991
 Action 1, score:  0.40000443065364377
 Action 3, score:  0.3999680683758925
 Action 3, score:  0.3999058387707919
 Action 5, score:  0.3999075583560625
 Action 5, score:  0.3998961237084586
 Action 0, score:  0.39990433302591555
 Action 0, score:  0.39991053891717454
 Action 5, score:  0.3998967078339774
 Action 5, score:  0.3998963058460504
 Action 4, score:  0.39989936193596803
 Action 2, score:  0.39989438641059677
 Action 0, score:  0.3998970742803067
 Action 5, score:  0.39989771736436525
 Action 3, score:  0.39989727555948773
 Action 3, score:  0.3998974603033275
 Action 0, score:  0.3998953961214283
 Action 2, score:  0.3998960684752092
 Action 0, score:  0.3998961570148822
 Action 0, score:  0.39989659582206516
 Action 4, score:  0.399895785197441
